"Index","fcmean","fc95","fc80","fc0"
2016-01-04 14:00:00,97.2378610984,97.2378610984,97.2378610984,97.2378610984
2016-01-04 15:00:00,96.7887606842,96.7887606842,96.7887606842,96.7887606842
2016-01-04 16:00:00,96.2191478358,96.2191478358,96.2191478358,96.2191478358
2016-01-04 17:00:00,95.5419995781,95.5419995781,95.5419995781,95.5419995781
2016-01-04 18:00:00,94.7707378489,94.7707378489,94.7707378489,94.7707378489
2016-01-04 19:00:00,93.9192537402,93.9192537402,93.9192537402,93.9192537402
2016-01-04 20:00:00,93.0019008395,93.0019008395,93.0019008395,93.0019008395
2016-01-04 21:00:00,92.0334268172,92.0334268172,92.0334268172,92.0334268172
2016-01-04 22:00:00,91.0288309974,91.0288309974,91.0288309974,91.0288309974
2016-01-04 23:00:00,90.0031523326,90.0031523326,90.0031523326,90.0031523326
2016-01-05 00:00:00,87.5144889557,87.5144889557,87.5144889557,87.5144889557
2016-01-05 01:00:00,88.9465658914,88.9465658914,88.9465658914,88.9465658914
2016-01-05 02:00:00,90.3841865045,90.3841865045,90.3841865045,90.3841865045
2016-01-05 03:00:00,91.8071858866,91.8071858866,91.8071858866,91.8071858866
2016-01-05 04:00:00,93.1951200712,93.1951200712,93.1951200712,93.1951200712
2016-01-05 05:00:00,94.5277599909,94.5277599909,94.5277599909,94.5277599909
2016-01-05 06:00:00,95.7856368457,95.7856368457,95.7856368457,95.7856368457
2016-01-05 07:00:00,96.9506372891,96.9506372891,96.9506372891,96.9506372891
2016-01-05 08:00:00,98.00663968,98.00663968,98.00663968,98.00663968
2016-01-05 09:00:00,98.940169354,98.940169354,98.940169354,98.940169354
2016-01-05 10:00:00,99.7410285888,99.7410285888,99.7410285888,99.7410285888
2016-01-05 11:00:00,100.402825505,100.402825505,100.402825505,100.402825505
2016-01-05 12:00:00,100.923291123,100.923291123,100.923291123,100.923291123
2016-01-05 13:00:00,101.304248666,101.304248666,101.304248666,101.304248666
2016-01-05 14:00:00,101.551104329,101.551104329,101.551104329,101.551104329
2016-01-05 15:00:00,101.671785415,101.671785415,101.671785415,101.671785415
2016-01-05 16:00:00,101.675170601,101.675170601,101.675170601,101.675170601
2016-01-05 17:00:00,101.569225135,101.569225135,101.569225135,101.569225135
2016-01-05 18:00:00,101.359226902,101.359226902,101.359226902,101.359226902
2016-01-05 19:00:00,101.046578035,101.046578035,101.046578035,101.046578035
2016-01-05 20:00:00,100.628669788,100.628669788,100.628669788,100.628669788
2016-01-05 21:00:00,100.100067213,100.100067213,100.100067213,100.100067213
2016-01-05 22:00:00,99.4549302865,99.4549302865,99.4549302865,99.4549302865
2016-01-05 23:00:00,98.690186803,98.690186803,98.690186803,98.690186803
2016-01-06 00:00:00,96.2015234261,97.0318827069114,96.7444661764169,96.3519468313
2016-01-06 01:00:00,97.6336003618,98.8079057183658,98.4014373628903,97.8205698945
2016-01-06 02:00:00,99.0712209749,100.509445437802,100.01162540405,99.1870086266
2016-01-06 03:00:00,100.494220357,102.154938918623,101.580105857634,100.445766998
2016-01-06 04:00:00,101.8821545416,103.738894339242,103.096211439199,101.596951425
2016-01-06 05:00:00,103.2147944613,105.248751002472,104.54472715912,102.643162287
2016-01-06 06:00:00,104.4726713161,106.669595471961,105.909162809584,103.586350637
2016-01-06 07:00:00,105.6376717595,107.986282472632,107.173345761681,104.425433999
2016-01-06 08:00:00,106.6936741504,109.184751992834,108.322502401351,105.155154956
2016-01-06 09:00:00,107.6272038244,110.253030428023,109.344139554478,105.766264651
2016-01-06 10:00:00,108.4280630592,111.182053234841,110.228800444645,106.246763068
2016-01-06 11:00:00,109.0898599754,111.966308901203,110.9706688337,106.583726566
2016-01-06 12:00:00,109.6103255934,112.604228557423,111.567933519309,106.765225972
2016-01-06 13:00:00,109.9912831364,113.098203073124,112.022788888719,106.781947208
2016-01-06 14:00:00,110.2381387994,113.454106465351,112.340947029321,106.628299532
2016-01-06 15:00:00,110.3588198854,113.680257008645,112.530590886668,106.302964593
2016-01-06 16:00:00,110.3622050714,113.785864093397,112.60081537962,105.808958603
2016-01-06 17:00:00,110.2562596054,113.779175675097,112.559770608671,105.153336847
2016-01-06 18:00:00,110.0462613724,113.665713564288,112.412893953159,104.346675327
