time,id,port,rx_packets,rx_byes,rx_errors,tx_packets,tx_bytes,tx_errors,rx_packetsps,rx_byesps,rx_errorsps,tx_packetsps,tx_bytesps,tx_errorspsn
1188.196299,      32,       2,    2393,  186932,       0,    1984, 4168669,       0,0.999918,341.971953,0.000000,0.000000,0.000000,0.000000
1189.196459,      32,       2,    2393,  186932,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1190.197136,      32,       2,    2393,  186932,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1191.197353,      32,       2,    2394,  187274,       0,    1984, 4168669,       0,0.999909,341.968855,0.000000,0.000000,0.000000,0.000000
1192.199447,      32,       2,    2394,  187274,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1193.200454,      32,       2,    2395,  187616,       0,    1984, 4168669,       0,0.999122,341.699629,0.000000,0.000000,0.000000,0.000000
1194.203218,      32,       2,    2395,  187616,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1195.200230,      32,       2,    2395,  187616,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1196.203426,      32,       2,    2396,  187958,       0,    1984, 4168669,       0,0.997086,341.003568,0.000000,0.000000,0.000000,0.000000
1197.200946,      32,       2,    2396,  187958,       0,    1984, 4168669,       0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1198.202068,      32,       2,    2396,  187958,       0,    1985, 4169011,       0,0.000000,0.000000,0.000000,0.999047,341.673991,0.000000
1199.201667,      32,       2,    2401,  188508,       0,    1987, 4169199,       0,5.003203,550.352310,0.000000,2.001281,188.120426,0.000000
1200.203141,      32,       2,    2408,  189150,       0,    1990, 4169526,       0,6.990262,641.106887,0.000000,2.995827,326.545097,0.000000
1201.202866,      32,       2,    2432,  194135,       0,    1997, 4171265,       0,24.009004,4986.870238,0.000000,7.002626,1739.652426,0.000000
1202.202408,      32,       2,    2451,  197966,       0,    2000, 4171880,       0,19.013500,3833.721983,0.000000,3.002132,615.436967,0.000000
1203.202253,      32,       2,    2463,  200086,       0,    2003, 4172410,       0,12.003912,2120.691172,0.000000,3.000978,530.172793,0.000000
1204.203365,      32,       2,    2489,  205039,       0,    2006, 4172697,       0,25.972834,4947.824861,0.000000,2.996865,286.700128,0.000000
1205.203319,      32,       2,    2507,  209242,       0,    2014, 4174778,       0,18.003962,4203.925117,0.000000,8.001761,2081.458046,0.000000
1206.203384,      32,       2,    2515,  211578,       0,    2016, 4175283,       0,8.000647,2336.188820,0.000000,2.000162,505.040819,0.000000
1207.203432,      32,       2,    2521,  212528,       0,    2017, 4175390,       0,6.000996,950.157669,0.000000,1.000166,107.017758,0.000000
1208.204054,      32,       2,    2531,  214614,       0,    2019, 4175721,       0,9.995172,2084.992873,0.000000,1.999034,330.840192,0.000000
1209.204216,      32,       2,    2553,  217290,       0,    2026, 4176882,       0,22.001144,2676.139093,0.000000,7.000364,1161.060346,0.000000
